Rep,Genotype,N-level,Inoculation,N_tubers,wet_weight_mg
R1,G1,N1,A,5,148.5
R1,G1,N1,B,7,153
R1,G1,N1,C,4,142.5
R1,G1,N1,D,8,112
R1,G1,N1,E,10,161.5
R1,G1,N1,F,9,126
R1,G1,N1,G,14,125
R1,G1,N2,A,4,68.5
R1,G1,N2,B,4,69.5
R1,G1,N2,C,2,86
R1,G1,N2,D,5,71
R1,G1,N2,E,4,96.5
R1,G1,N2,F,4,65.5
R1,G1,N2,G,3,65.5
R1,G2,N1,A,5,178
R1,G2,N1,B,2,131
R1,G2,N1,C,7,214.5
R1,G2,N1,D,4,170.5
R1,G2,N1,E,6,186
R1,G2,N1,F,10,206
R1,G2,N1,G,3,178
R1,G2,N2,A,3,68.5
R1,G2,N2,B,7,50.5
R1,G2,N2,C,5,125.5
R1,G2,N2,D,3,69.5
R1,G2,N2,E,3,88
R1,G2,N2,F,4,129
R1,G2,N2,G,3,102.5
R2,G1,N1,A,6,156
R2,G1,N1,B,11,205
R2,G1,N1,C,5,146.5
R2,G1,N1,D,10,183
R2,G1,N1,E,7,146
R2,G1,N1,F,6,166.5
R2,G1,N1,G,8,128
R2,G1,N2,A,5,92
R2,G1,N2,B,5,102
R2,G1,N2,C,4,81.5
R2,G1,N2,D,2,77
R2,G1,N2,E,6,88
R2,G1,N2,F,5,75
R2,G1,N2,G,4,82.5
R2,G2,N1,A,4,161.5
R2,G2,N1,B,5,150
R2,G2,N1,C,8,179.5
R2,G2,N1,D,5,208
R2,G2,N1,E,6,176.5
R2,G2,N1,F,7,209.5
R2,G2,N1,G,6,129.5
R2,G2,N2,A,4,132
R2,G2,N2,B,2,122.5
R2,G2,N2,C,6,124.5
R2,G2,N2,D,3,116
R2,G2,N2,E,4,108
R2,G2,N2,F,5,92
R2,G2,N2,G,3,131.5
R3,G1,N1,A,7,174.5
R3,G1,N1,B,8,166
R3,G1,N1,C,5,200.5
R3,G1,N1,D,5,175
R3,G1,N1,E,5,105.5
R3,G1,N1,F,5,211
R3,G1,N1,G,8,128
R3,G1,N2,A,4,141
R3,G1,N2,B,6,106
R3,G1,N2,C,10,199
R3,G1,N2,D,6,88.5
R3,G1,N2,E,5,152.5
R3,G1,N2,F,6,127
R3,G1,N2,G,7,121
R3,G2,N1,A,6,198
R3,G2,N1,B,9,185.5
R3,G2,N1,C,7,172.5
R3,G2,N1,D,11,223.5
R3,G2,N1,E,2,176.5
R3,G2,N1,F,6,159.5
R3,G2,N1,G,4,195.5
R3,G2,N2,A,5,142
R3,G2,N2,B,3,91
R3,G2,N2,C,2,69
R3,G2,N2,D,8,139.5
R3,G2,N2,E,3,126.5
R3,G2,N2,F,6,119.5
R3,G2,N2,G,4,118.5
R4,G1,N1,A,4,190.5
R4,G1,N1,B,8,242.5
R4,G1,N1,C,5,181.5
R4,G1,N1,D,6,185.5
R4,G1,N1,E,4,182.5
R4,G1,N1,F,6,173
R4,G1,N1,G,7,215.5
R4,G1,N2,A,5,131
R4,G1,N2,B,6,161.5
R4,G1,N2,C,6,125
R4,G1,N2,D,5,109.5
R4,G1,N2,E,12,155.5
R4,G1,N2,F,7,145.5
R4,G1,N2,G,6,177.5
R4,G2,N1,A,9,214
R4,G2,N1,B,5,193
R4,G2,N1,C,5,183.5
R4,G2,N1,D,7,189
R4,G2,N1,E,6,210.5
R4,G2,N1,F,10,227
R4,G2,N1,G,3,162.5
R4,G2,N2,A,4,148.5
R4,G2,N2,B,4,77
R4,G2,N2,C,4,82.5
R4,G2,N2,D,3,104.5
R4,G2,N2,E,3,117
R4,G2,N2,F,2,123.5
R4,G2,N2,G,5,103.5
